Time,lat,long,depth,mag
2005-02-10T17:12:45.270Z,-23.117,169.197,10,5.2
2005-02-10T20:17:44.040Z,-33.554,-178.659,10,5
2005-02-10T21:52:20.680Z,-22.936,169.234,10,5.3
2005-02-11T21:00:23.046Z,60.104,-139.3425,15,5.4
2005-02-11T21:29:33.711Z,60.11,-139.3483,11.7,5
2005-02-12T02:38:41.700Z,-23.434,169.212,10,5.2
2005-02-12T18:43:02.590Z,5.507,93.032,30,5
2005-02-12T19:38:08.800Z,-4.61,144.861,42.8,5
2005-02-13T01:22:09.310Z,5.079,94.794,48.8,5.3
2005-02-13T02:02:07.600Z,5.071,94.804,51.3,5.3
2005-02-13T03:29:23.670Z,26.79,140.311,462.9,5
2005-02-13T05:26:54.460Z,11.961,57.838,10,5.1
2005-02-14T03:31:58.160Z,8.991,-84.081,36.9,5
2005-02-14T16:21:53.160Z,-56.279,-25.524,29.5,5.1
2005-02-14T17:06:52.640Z,-0.127,98.729,47.1,5.8
2005-02-14T18:05:59.320Z,15.775,-61.744,11.6,5.8
2005-02-14T18:54:59.870Z,-17.504,167.604,7.3,5.4
2005-02-14T23:38:08.660Z,41.728,79.44,22,6.1
2005-02-15T02:33:02.360Z,1.821,92.191,26.9,5.4
2005-02-15T11:15:11.700Z,24.55,92.524,35.2,5
2005-02-15T11:16:16.320Z,41.754,79.399,29,5.3
2005-02-15T13:05:49.840Z,24.428,94.537,69.7,5.2
2005-02-15T13:06:52.000Z,-15.308,167.448,94.4,5
2005-02-15T14:42:25.850Z,4.756,126.421,39.7,6.5
2005-02-15T19:46:35.880Z,35.982,139.686,46.2,5.5
2005-02-15T21:19:23.630Z,-13.873,171.926,21.3,5
2005-02-16T08:19:41.470Z,8.097,93.945,11,5.9
2005-02-16T10:54:07.580Z,35.261,-36.071,10,5.3
2005-02-16T11:44:26.710Z,-23.214,-115.028,10,5.2
2005-02-16T20:27:52.490Z,-36.32,-16.558,10,6.6
2005-02-17T01:19:16.590Z,-56.132,-27.418,102.7,5.6
2005-02-17T03:12:46.850Z,-10.927,-76.101,126.2,5.4
2005-02-17T05:31:28.080Z,4.702,95.156,47.8,5.7
2005-02-17T06:12:16.480Z,-5.812,150.481,36.6,5.5
2005-02-17T06:20:22.680Z,-34.271,-178.051,37.4,5
2005-02-17T16:42:44.710Z,0.966,125.939,15,5.2
2005-02-17T20:42:57.640Z,-1.768,-81.046,10,5.5
2005-02-18T10:06:17.620Z,51.241,-178.903,43.9,5
2005-02-18T10:33:40.090Z,51.194,-178.881,46.1,5
2005-02-18T15:25:39.020Z,-23.667,-177.295,64,5.2
2005-02-18T19:33:46.400Z,5.446,94.416,48,5.6
2005-02-18T20:18:17.900Z,23.212,121.558,16.6,5.4
2005-02-19T00:04:43.590Z,-5.562,122.129,10,6.5
