Naming,RST_Median,RST_99.7,Q_all,Q_tr_all,z_va_all,z_tr_all,avg_train_all,err_train_all,avg_val_all,err_val_all,z_tr_err32_all,z_va_err32_all,z_tr_err68_all,z_va_err68_all,mode,tw,label_name
tw48-30dBG_In-C,55,64.5015,1.554592072,3.050478678,0.706465784,2.142018931,1.305172853,0.016344727,2.495536843,1.223040157,68.59664999,1.878004805,62.0609434,3.458733189,all,48,SW22x22_WOG_TW48
tw48-30dBG_In-D,55,64.5015,1.844882488,3.06950859,1.144518195,2.510356753,1.220870561,0.290350308,3.374456066,2.104835802,71.63319346,1.854948869,66.11530183,3.017081592,all,48,SW22x22_WOG_TW48
tw48-30dBG_In-E,55,64.5015,1.790158545,3.219711514,0.930945285,2.514214296,1.609554943,0.252143589,3.229983696,1.697393469,71.19061762,1.845168494,64.16625464,3.056696578,all,48,SW22x22_WOG_TW48
SW2023-tw48-30dBG_A,55.5,66,2.04058802,1.86059227,0.476932889,1.148787694,63.57005202,2.027320024,61.18258408,3.237507367,0.465603418,0.163241823,1.913928,1.113580806,all,48,SW23x20_WOG_TW48
SW2023-tw48-30dBG_B,55.5,66,1.74748592,1.902148767,0.691850944,1.093474486,62.96446513,2.034049659,61.96914197,3.155581375,0.440221681,0.376488047,1.568056467,1.181991676,all,48,SW23x20_WOG_TW48
SW2023-tw48-30dBG_C,55.5,66,1.768112439,2.365270757,0.917229136,1.828391782,68.21604134,1.973249074,64.42247876,3.185797043,0.804145279,0.544924301,2.397517682,1.817961712,all,48,SW23x20_WOG_TW48
SW2023-tw48-30dBG_D,55.5,66,2.019499661,2.272549334,1.11181994,1.87760078,68.87628766,1.96752157,66.07566483,3.29104675,1.048050354,0.300258123,2.707991562,1.694433268,all,48,SW23x20_WOG_TW48
SW2023-tw48-30dBG_E,55.5,66,1.781941704,5.781106384,0.89161488,4.566495501,78.59982636,1.704439918,63.1483026,3.059407834,2.240943706,0.25490137,6.058261654,0.951656733,all,48,SW23x20_WOG_TW48
SW2023-tw48-30dBG_In-A,55.5,66,1.195281739,2.120792685,0.707782004,1.398037254,65.09000522,1.951384041,63.82165485,3.423993715,0.578351656,0.249945541,2.287749024,1.112868137,all,48,SW23x20_WOG_TW48
SW2023-tw48-30dBG_In-B,55.5,66,1.972446185,2.035898511,1.122014262,1.466784238,65.84765645,1.950121966,66.43619268,3.246090912,0.511103351,0.602574477,2.287749024,1.348625407,all,48,SW23x20_WOG_TW48
SW2023-tw48-30dBG_In-C,55.5,66,1.465629464,2.615543888,0.655917961,1.848587394,67.6988781,1.913178479,61.92130827,3.414906118,0.817932353,-0.213097605,2.11197011,1.098819406,all,48,SW23x20_WOG_TW48
SW2023-tw48-30dBG_In-D,55.5,66,1.752967637,3.000428718,1.025625795,2.478805292,72.0000034,1.842568453,65.90043841,3.13765853,1.907426645,0.422557662,3.32699033,1.830176962,all,48,SW23x20_WOG_TW48
SW2023-tw48-30dBG_In-E,55.5,66,2.018544698,3.399916698,1.084238877,2.564143463,71.43225504,1.83859182,65.82497455,3.065566289,1.20337348,0.075448366,3.33489853,1.737860817,all,48,SW23x20_WOG_TW48
